exit_code: 0

stdout:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         323  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         324  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         326  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         327  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         328  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         329  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         330  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         332  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         333  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         334  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         335  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         336  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         338  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         339  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         340  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         341  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         342  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         344  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         345  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         346  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         347  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [migrat
root         348  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         350  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         351  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         352  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         353  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         354  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         356  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         357  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         358  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         359  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         360  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         362  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         363  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         364  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         365  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         366  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         368  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         369  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         370  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         371  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         372  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         374  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         375  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         376  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         377  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         378  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         380  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         381  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         382  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         383  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         384  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         386  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         387  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         388  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         389  0.0  0.0      0     0 ?        S     4월05   0:04  \_ [migrat
root         390  0.0  0.0      0     0 ?        S     4월05   0:01  \_ [ksofti
root         392  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         393  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         394  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         395  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         396  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [ksofti
root         398  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         399  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [cpuhp/
root         400  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [idle_i
root         401  0.0  0.0      0     0 ?        S     4월05   0:03  \_ [migrat
root         402  0.0  0.0      0     0 ?        S     4월05   0:05  \_ [ksofti
root         404  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         486  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [kdevtm
root         488  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         489  0.0  0.0      0     0 ?        S     4월05   0:02  \_ [kaudit
root         491  0.0  0.0      0     0 ?        S     4월05   0:12  \_ [khungt
root         493  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [oom_re
root         494  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         495  0.2  0.0      0     0 ?        S     4월05  59:00  \_ [kcompa
root         496  0.2  0.0      0     0 ?        S     4월05  75:43  \_ [kcompa
root         497  0.0  0.0      0     0 ?        SN    4월05   0:00  \_ [ksmd]
root         498  0.0  0.0      0     0 ?        SN    4월05   4:38  \_ [khugep
root         499  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         500  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         501  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         502  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [irq/9-
root         503  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         504  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         505  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         506  0.0  0.0      0     0 ?        I<    4월05   0:00  \_ [kworke
root         507  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [watchd
root         508  0.0  0.0      0     0 ?        I<    4월05   0:01  \_ [kworke
root         511  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [irq/28
root         512  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [irq/29
root         513  0.0  0.0      0     0 ?        S     4월05   0:00  \_ [irq/30
